top_movie,year,genre,score,tickets_sold,budget,gross,inflation_adjusted_gross
Shanghai Noon,2000,Western,64.0,12007366,55000000.0,64719710,107706073
Tales from the Crypt: Demon Knight,1995,Horror,68.0,34046807,12000000.0,148103633,305399859
Hidalgo,2004,Western,68.0,14569352,78000000.0,90475689,130687087
Krampus,2015,Dark Comedy,61.0,8445027,15000000.0,74779827,75751892
"Three Billboards Outside Ebbing, Missouri",2017,Dark Comedy,81.0,6824518,12000000.0,61215946,61215926
"Three Billboards Outside Ebbing, Missouri",2018,Dark Comedy,81.0,15750577,12000000.0,141282717,141282676
Meet the Fockers,2004,Comedy,62.0,269633428,60000000.0,1674423943,2418611849
Signs,2002,Thriller or Suspense,67.0,163520173,70702619.0,950052308,1466775952
The Royal Tenenbaums,2002,Dark Comedy,75.0,8221446,28000000.0,47766617,73746371
Apollo 13,1995,Drama,74.0,350796050,65000000.0,1525963099,3146640569
Wedding Crashers,2005,Comedy,65.0,284846481,40000000.0,1825866367,2555072935
Transformers,2007,Action,68.0,214202319,151000000.0,1489960013,1921394801
Talladega Nights: The Ballad of Ricky Bobby,2006,Comedy,63.0,298464018,73000000.0,1954939739,2677222241
The Break-Up,2006,Romantic Comedy,58.0,52333650,52000000.0,342785466,469432841
The Perfect Storm,2000,Drama,64.0,324538950,120000000.0,1749265350,2911114382
Transformers: Dark of the Moon,2011,Action,62.0,243632546,195000000.0,2117521464,2185383938
The Waterboy,1998,Comedy,60.0,168743282,23000000.0,791406180,1513627240
Hostiles,2018,Western,69.0,3724495,50000000.0,33408750,33408720
The Phantom of the Opera,2004,Musical,73.0,3601422,55000000.0,22364844,32304755
The Phantom of the Opera,2005,Musical,73.0,12759520,55000000.0,81788548,114452894
Chicago,2003,Musical,71.0,28054586,30000000.0,169169167,251649636
Jerry Maguire,1996,Romantic Comedy,69.0,96674429,50000000.0,427301022,867169628
Jerry Maguire,1997,Romantic Comedy,69.0,64734983,50000000.0,297133612,580672798
Eagle Eye,2008,Thriller or Suspense,64.0,97076819,80000000.0,780239375,870779066
The Quick and the Dead,1995,Western,65.0,8399556,32000000.0,36538078,75344017
Valentine's Day,2010,Romantic Comedy,59.0,59285340,52000000.0,517406269,531789500
The General's Daughter,1999,Drama,64.0,287177397,60000000.0,1458861532,2575981251
Burn After Reading,2008,Dark Comedy,66.0,6905436,37000000.0,61625210,61941761
3:10 to Yuma,2007,Western,72.0,8293652,48000000.0,57964064,74394058
Being John Malkovich,1999,Dark Comedy,74.0,20028824,13000000.0,101746444,179658551
Runaway Bride,1999,Romantic Comedy,61.0,142243650,70000000.0,722597811,1275925541
Dreamgirls,2006,Musical,68.0,10411454,75000000.0,68195041,93390742
Into the Woods,2015,Musical,58.0,7956106,56200000.0,68944880,71366271
50/50,2011,Dark Comedy,72.0,4514637,8000000.0,35839668,40496294
Think Like a Man Too,2014,Romantic Comedy,64.0,32398230,24000000.0,264693693,290612123
Executive Decision,1996,Thriller or Suspense,63.0,69165022,55000000.0,305709447,620410247
Katy Perry: Part of Me,2012,Concert or Performance,71.0,3561192,12000000.0,28347099,31943892
The Nutty Professor,1996,Comedy,56.0,235560580,55000000.0,1041177912,2112978403
The Nutty Professor,1996,Comedy,66.0,235560580,55000000.0,1041177912,2112978403
True Grit,2010,Western,73.0,10426173,35000000.0,92697737,93522772
True Grit,2011,Western,73.0,9440622,35000000.0,84669662,84682379
True Grit,2010,Western,74.0,10426173,35000000.0,92697737,93522772
True Grit,2011,Western,74.0,9440622,35000000.0,84669662,84682379
What Lies Beneath,2000,Thriller or Suspense,64.0,106186358,90000000.0,572344556,952491631
The Recruit,2003,Thriller or Suspense,63.0,63456152,46000000.0,382640658,569201683
Bad Santa,2003,Dark Comedy,65.0,9444035,18000000.0,56947540,84712994
Bad Santa,2004,Dark Comedy,65.0,849791,18000000.0,5277208,7622625
Open Range,2003,Western,72.0,14005482,26000000.0,84453058,125629174
While You Were Sleeping,1995,Romantic Comedy,69.0,68316713,17000000.0,297177737,612800916
Fahrenheit 9/11,2004,Documentary,71.0,37919594,6000000.0,235480966,340138758
Night School,2018,Comedy,62.0,96479734,29000000.0,865423455,865423214
My Big Fat Greek Wedding,2002,Romantic Comedy,65.0,98946512,5000000.0,574879303,887550213
The Homesman,2014,Western,66.0,284339,16000000.0,2323054,2550521
Fame,2009,Musical,65.0,4692206,18000000.0,39330920,42089088
Born in China,2017,Documentary,73.0,5002945,53600000.0,44877018,44876417
The Men Who Stare at Goats,2009,Dark Comedy,60.0,7289484,24000000.0,54671157,65386671
Eight Crazy Nights,2002,Musical,52.0,9909026,12200000.0,57571456,88883963
To Die For,1995,Dark Comedy,66.0,5559905,20000000.0,24185598,49872348
